"word";"in documents";"total"
"aamir_khan";1.0;1.0
"aamir_khan_visit";1.0;1.0
"abandon_arbitr";1.0;1.0
"abandon_arbitr_applic";1.0;1.0
"abduct_sulu";1.0;1.0
"abduct_sulu_sea";1.0;1.0
"abella_interview";1.0;1.0
"abella_interview_state";1.0;1.0
"abella_said";2.0;2.0
"abella_said_dutert";2.0;2.0
"abet_crucial";1.0;1.0
"abet_crucial_carri";1.0;1.0
"abid_commit";1.0;1.0
"abid_commit_pursu";1.0;1.0
"abid_decis";1.0;1.0
"abid_decis_arroyo";1.0;1.0
"abid_declar";1.0;1.0
"abid_declar_conduct";1.0;1.0
"abid_intern";1.0;1.0
"abid_intern_commit";1.0;1.0
"abl_fire";1.0;1.0
"abl_fire_abu";1.0;1.0
"abl_leadership";1.0;1.0
"abl_leadership_ad";1.0;1.0
"absurd_arbitr";1.0;1.0
"absurd_arbitr_award";1.0;1.0
"abu_sayyaf";3.0;16.0
"abu_sayyaf_alli";1.0;1.0
"abu_sayyaf_attack";1.0;1.0
"abu_sayyaf_crimin";1.0;1.0
"abu_sayyaf_group";2.0;4.0
"abu_sayyaf_keep";1.0;2.0
"abu_sayyaf_men";1.0;2.0
"abu_sayyaf_process";1.0;1.0
"abu_sayyaf_rebel";2.0;2.0
"abu_sayyaf_respons";1.0;1.0
"abu_sayyaf_term";1.0;1.0
"abus_arbitr";1.0;1.0
"abus_arbitr_worri";1.0;1.0
"abus_intern";1.0;1.0
"abus_intern_law";1.0;1.0
"abus_lawsuit";1.0;1.0
"abus_lawsuit_ad";1.0;1.0
"academ_institut";2.0;2.0
"academ_institut_china";2.0;2.0
"academi_social";2.0;3.0
"academi_social_scienc";2.0;3.0
"accept_arbitr";2.0;2.0
"accept_arbitr_fulli";1.0;1.0
"accept_arbitr_wide";1.0;1.0
"accept_claim";1.0;1.0
"accept_claim_jurisdict";1.0;1.0
"accept_conclus";1.0;1.0
"accept_conclus_accord";1.0;1.0
"accept_former";1.0;1.0
"accept_former_philippin";1.0;1.0
"accept_jone";1.0;1.0
"accept_jone_said";1.0;1.0
"accept_miss";1.0;1.0
"accept_miss_case";1.0;1.0
"accept_non";1.0;1.0
"accept_non_recognit";1.0;1.0
"accept_offer";1.0;1.0
"accept_offer_thank";1.0;1.0
"accept_particip";2.0;2.0
"accept_particip_arbitr";1.0;1.0
"accept_particip_china";1.0;1.0
"accept_point";1.0;1.0
"accept_point_disput";1.0;1.0
"accept_presid";1.0;1.0
"accept_presid_s";1.0;1.0
"accept_proposit";2.0;2.0
"accept_proposit_action";2.0;2.0
"accept_recogn";5.0;5.0
"accept_recogn_award";2.0;2.0
"accept_recogn_ministri";1.0;1.0
"accept_recogn_rule";2.0;2.0
"accept_side";1.0;1.0
"accept_side_reach";1.0;1.0
"accept_solut";1.0;1.0
"accept_solut_disput";1.0;1.0
"accept_third";1.0;1.0
"accept_third_parti";1.0;1.0
"accept_tribun";2.0;2.0
"accept_tribun_s";2.0;2.0
"accommod_deleg";1.0;1.0
"accommod_deleg_malacanang";1.0;1.0
"accompani_page";1.0;1.0
"accompani_page_award";1.0;1.0
"accomplic_attempt";1.0;1.0
"accomplic_attempt_hijack";1.0;1.0
"accord_articl";1.0;1.0
"accord_articl_unclo";1.0;1.0
"accord_bureau";1.0;1.0
"accord_bureau_maritim";1.0;1.0
"accord_carvalho";1.0;1.0
"accord_carvalho_basic";1.0;1.0
"accord_deputi";1.0;1.0
"accord_deputi_mayor";1.0;1.0
"accord_doc";1.0;1.0
"accord_doc_china";1.0;1.0
"accord_expert";1.0;1.0
"accord_expert_issu";1.0;1.0
"accord_extent";2.0;2.0
"accord_extent_threat";2.0;2.0
"accord_foreign";1.0;1.0
"accord_foreign_minist";1.0;1.0
"accord_interfer";1.0;1.0
"accord_interfer_third";1.0;1.0
"accord_intern";4.0;4.0
"accord_intern_law";4.0;4.0
"accord_level";1.0;1.0
"accord_level_threat";1.0;1.0
"accord_s";1.0;1.0
"accord_s_arbitr";1.0;1.0
"accord_unclo";1.0;1.0
"accord_unclo_stipul";1.0;1.0
"accuraci_profil";1.0;1.0
"accuraci_profil_u";1.0;1.0
"accus_chines";1.0;1.0
"accus_chines_media";1.0;1.0
"accus_hurl";1.0;1.0
"accus_unceas";1.0;1.0
"accus_unceas_lie";1.0;1.0
"accus_unit";1.0;1.0
"accus_unit_state";1.0;1.0
"achiev_final";1.0;1.0
"achiev_final_settlement";1.0;1.0
"achiev_last";1.0;1.0
"achiev_last_peac";1.0;1.0
"achiev_posit";1.0;1.0
"achiev_posit_pragmat";1.0;1.0
"achiev_rush";1.0;1.0
"achiev_rush_decis";1.0;1.0
