"word";"in documents";"total"
"aamir";1.0;1.0
"abandon";1.0;1.0
"abduct";1.0;1.0
"abella";3.0;3.0
"abet";1.0;1.0
"abid";4.0;4.0
"absurd";1.0;1.0
"abus";3.0;3.0
"academ";2.0;2.0
"academi";2.0;3.0
"accept";17.0;25.0
"accommod";1.0;1.0
"accompani";1.0;1.0
"accomplic";1.0;1.0
"accord";12.0;17.0
"accuraci";1.0;1.0
"accus";3.0;4.0
"achiev";7.0;7.0
"acknowledg";2.0;3.0
"acquit";1.0;1.0
"action";5.0;7.0
"activ";6.0;6.0
"actual";2.0;2.0
"addit";3.0;5.0
"address";2.0;2.0
"adher";5.0;5.0
"adiz";4.0;7.0
"administr";18.0;33.0
"admit";3.0;4.0
"adopt";1.0;1.0
"advanc";1.0;1.0
"advantag";1.0;1.0
"advis";3.0;3.0
"advoc";1.0;1.0
"affair";6.0;10.0
"affect";1.0;1.0
"affirm";2.0;2.0
"affront";1.0;1.0
"afraid";1.0;1.0
"african";1.0;2.0
"agenc";4.0;4.0
"agenda";3.0;3.0
"aggress";2.0;2.0
"aggressor";1.0;1.0
"agre";6.0;7.0
"agreement";12.0;21.0
"aguirr";2.0;2.0
"ahead";4.0;4.0
"aiib";1.0;2.0
"aircraft";2.0;2.0
"airstrip";1.0;1.0
"alarm";1.0;1.0
"albarka";1.0;1.0
"alberto";2.0;2.0
"alessandra";1.0;1.0
"alleg";3.0;4.0
"alli";4.0;4.0
"allianc";1.0;3.0
"alloc";1.0;1.0
"allow";5.0;7.0
"alumus";1.0;1.0
"ambassador";3.0;4.0
"ambit";1.0;1.0
"ambush";1.0;1.0
"america";3.0;4.0
"amnesti";1.0;2.0
"amount";1.0;1.0
"ampl";1.0;1.0
"analyst";3.0;4.0
"analyz";1.0;1.0
"ancient";1.0;4.0
"andanar";1.0;2.0
"anniversari";3.0;3.0
"announc";6.0;7.0
"annual";2.0;2.0
"annul";1.0;1.0
"answer";1.0;1.0
"anti";3.0;3.0
"apex";1.0;1.0
"appeal";1.0;1.0
"appli";2.0;2.0
"applic";2.0;3.0
"appoint";1.0;3.0
"appreci";1.0;1.0
"approach";5.0;10.0
"appropri";1.0;1.0
"approv";5.0;6.0
"april";2.0;2.0
"aquino";17.0;22.0
"arbitr";26.0;130.0
"arbitrari";1.0;1.0
"area";3.0;6.0
"argentina";1.0;1.0
"arguabl";1.0;1.0
"armament";1.0;1.0
"armi";3.0;3.0
"armor";1.0;1.0
"arrest";1.0;1.0
"arriv";2.0;2.0
"arrow";1.0;1.0
"arroyo";1.0;17.0
"articl";3.0;3.0
"artilleri";2.0;3.0
"asean";8.0;21.0
"asem";1.0;1.0
"asia";7.0;15.0
"asian";11.0;15.0
"asid";3.0;3.0
"aspect";2.0;2.0
"assert";2.0;2.0
"assess";1.0;1.0
"assign";3.0;3.0
"assist";2.0;2.0
"associ";5.0;5.0
"assum";3.0;3.0
"assumpt";1.0;1.0
"athlet";2.0;10.0
"atol";1.0;1.0
"attach";1.0;1.0
"attack";1.0;1.0
"attempt";2.0;3.0
"attend";1.0;1.0
"attract";2.0;2.0
"audaci";1.0;1.0
"august";1.0;1.0
"australian";1.0;1.0
"author";6.0;8.0
"autonom";3.0;3.0
"avenu";1.0;3.0
"aviat";1.0;1.0
"avoid";3.0;3.0
"await";2.0;2.0
"award";20.0;46.0
"back";2.0;2.0
"background";2.0;2.0
"baja";1.0;2.0
"balanc";2.0;2.0
"balaoi";1.0;1.0
"bandit";2.0;2.0
"bangsamoro";1.0;1.0
"bank";4.0;10.0
"banlaoi";1.0;5.0
"barack";2.0;2.0
"base";10.0;11.0
"basi";7.0;8.0
"basic";2.0;3.0
"basilan";2.0;5.0
"battalion";1.0;1.0
"bautista";1.0;1.0
"bear";2.0;2.0
"becam";2.0;3.0
"becom";1.0;2.0
"beda";2.0;4.0
"begin";4.0;5.0
"begun";1.0;1.0
"behead";1.0;1.0
"beij";6.0;12.0
"belief";1.0;1.0
"believ";7.0;7.0
"bell";1.0;1.0
"belt";1.0;1.0
"benefici";3.0;6.0
"benefit";4.0;4.0
"benigno";15.0;16.0
"benito";1.0;1.0
"benjamin";2.0;2.0
"bilater";19.0;45.0
"billion";1.0;1.0
"binay";1.0;1.0
"bind";6.0;7.0
"bingguo";1.0;1.0
"blackmail";1.0;1.0
"blair";1.0;1.0
"blast";1.0;1.0
"blind";1.0;1.0
"blockad";1.0;1.0
"bloodi";1.0;1.0
"bodi";2.0;2.0
"bolster";1.0;1.0
"bomb";3.0;3.0
"book";1.0;3.0
"boost";1.0;1.0
"border";1.0;1.0
"borderland";2.0;3.0
"born";1.0;1.0
"borrow";1.0;1.0
"bother";1.0;1.0
"bounti";1.0;1.0
"branch";1.0;1.0
"brazil";1.0;1.0
"breach";1.0;2.0
"break";1.0;1.0
"bridg";1.0;1.0
"brief";7.0;8.0
"bright";1.0;1.0
"bring";8.0;11.0
"britain";1.0;4.0
"british";2.0;3.0
"broad";1.0;1.0
"broader";1.0;1.0
"broke";4.0;4.0
"brought";5.0;5.0
"brunt";1.0;1.0
"buddhism";1.0;1.0
"budget";2.0;11.0
"bueno";1.0;1.0
"build";5.0;6.0
"buildup";1.0;1.0
"bureau";2.0;3.0
"busi";1.0;2.0
"businessworld";1.0;1.0
"cabinet";4.0;7.0
"cainglet";1.0;2.0
"call";14.0;18.0
"cambodia";4.0;4.0
"came";4.0;5.0
"camouflag";1.0;1.0
"camp";1.0;1.0
"campaign";2.0;4.0
"capabl";1.0;1.0
"capac";3.0;3.0
"capit";2.0;2.0
"captur";1.0;1.0
"carbon";1.0;1.0
"cardon";1.0;1.0
"care";1.0;1.0
"cargo";1.0;1.0
"caribbean";1.0;2.0
"carri";4.0;4.0
"carrier";1.0;1.0
"carvalho";1.0;2.0
"case";18.0;36.0
"cash";1.0;2.0
"cass";1.0;1.0
"cast";1.0;1.0
"casualti";2.0;2.0
"caus";5.0;6.0
"ceasefir";1.0;1.0
"celebr";1.0;2.0
"cell";1.0;1.0
"center";4.0;5.0
"centr";1.0;1.0
"centuri";3.0;3.0
"ceremoni";2.0;2.0
"chain";1.0;1.0
"chairman";3.0;4.0
"challeng";2.0;2.0
"chanc";2.0;2.0
"chang";3.0;4.0
"chariti";1.0;1.0
"charter";1.0;2.0
"chen";1.0;1.0
"chief";4.0;5.0
"chilcot";1.0;1.0
"children";1.0;1.0
"chilli";1.0;1.0
"china";26.0;381.0
"chines";16.0;39.0
"choic";2.0;2.0
"chunm";1.0;1.0
"circumst";2.0;2.0
"circumv";1.0;1.0
"cite";2.0;3.0
"citi";2.0;4.0
"civil";2.0;2.0
"clad";1.0;1.0
"claim";10.0;16.0
"clark";1.0;1.0
"clean";2.0;2.0
"clear";8.0;10.0
"click";1.0;1.0
"climat";1.0;1.0
"clinton";1.0;1.0
"cloak";1.0;1.0
"clock";1.0;1.0
"close";2.0;2.0
"closer";1.0;1.0
"coach";1.0;1.0
"coal";1.0;2.0
"coast";2.0;2.0
"cojuancgo";1.0;2.0
"cold";1.0;1.0
"collabor";1.0;1.0
"colleg";3.0;4.0
"collid";1.0;1.0
"colon";1.0;2.0
"colonist";1.0;1.0
"combat";2.0;2.0
"come";4.0;4.0
"command";2.0;2.0
"commemor";1.0;1.0
"commend";1.0;1.0
"comment";4.0;5.0
"commentari";3.0;4.0
"commiss";2.0;2.0
"commit";9.0;12.0
"committ";1.0;1.0
"committe";2.0;2.0
"common";4.0;4.0
"communic";1.0;1.0
"communist";3.0;3.0
"communiti";3.0;4.0
"compar";1.0;1.0
"compel";1.0;1.0
"compet";1.0;1.0
"competit";2.0;2.0
"compil";1.0;1.0
"complaint";1.0;1.0
"complet";1.0;1.0
"complex";4.0;4.0
"compli";1.0;1.0
"complianc";1.0;1.0
"complic";3.0;3.0
"comprehens";3.0;3.0
"compromis";1.0;1.0
"compulsori";4.0;4.0
"concept";1.0;1.0
"concern";11.0;17.0
"concess";1.0;1.0
"conclud";1.0;1.0
"conclus";2.0;2.0
"concret";1.0;3.0
"concurr";1.0;1.0
"condit";2.0;3.0
"conduct";14.0;15.0
"confer";2.0;3.0
"confid";3.0;6.0
"confin";2.0;2.0
"confirm";3.0;3.0
"conflict";4.0;6.0
"confront";4.0;4.0
"confus";1.0;1.0
"congratul";1.0;1.0
"congress";1.0;1.0
"congresswoman";1.0;1.0
"connect";1.0;1.0
"consensus";3.0;3.0
"consent";1.0;1.0
"consequ";5.0;5.0
"consid";2.0;2.0
"consider";1.0;1.0
"consist";3.0;3.0
"conspir";1.0;1.0
"constant";1.0;1.0
"construct";3.0;3.0
"consult";14.0;20.0
"contain";2.0;2.0
"contamin";1.0;1.0
"contest";1.0;1.0
"context";1.0;1.0
"continu";6.0;10.0
"contract";1.0;1.0
"contradict";2.0;2.0
"contrast";1.0;1.0
"contribut";2.0;2.0
"control";2.0;2.0
"convent";7.0;9.0
"convers";2.0;2.0
"convict";1.0;1.0
"cooper";10.0;13.0
"coordin";3.0;3.0
"cope";1.0;1.0
"core";1.0;1.0
"correspond";1.0;1.0
"corrupt";3.0;3.0
"council";4.0;4.0
"councilor";2.0;2.0
"counselor";1.0;1.0
"counterpart";1.0;1.0
"countri";28.0;70.0
"cours";4.0;5.0
"court";15.0;33.0
"coward";2.0;2.0
"crackdown";1.0;1.0
"creat";2.0;2.0
"credibl";2.0;3.0
"crew";1.0;2.0
"crime";1.0;2.0
"crimin";5.0;8.0
"crisi";1.0;2.0
"critic";2.0;2.0
"crossroad";1.0;1.0
"crucial";1.0;1.0
"cruis";1.0;1.0
"cultur";2.0;3.0
"current";4.0;4.0
"custom";1.0;1.0
"czech";1.0;1.0
"daili";3.0;3.0
"danger";1.0;1.0
"data";1.0;1.0
"date";2.0;2.0
"davao";1.0;1.0
"dawn";1.0;1.0
"dead";2.0;2.0
"deal";2.0;3.0
"dealer";1.0;1.0
"dean";2.0;2.0
"death";1.0;1.0
"decad";3.0;3.0
"decid";5.0;8.0
"decis";12.0;19.0
"declar";15.0;20.0
"declin";3.0;3.0
"dedic";1.0;2.0
"deep";1.0;1.0
"deeper";1.0;1.0
"defens";3.0;3.0
"defin";1.0;1.0
"definit";1.0;1.0
"degre";1.0;1.0
"delay";1.0;1.0
"deleg";2.0;4.0
"deliber";4.0;4.0
"delic";1.0;1.0
"delimit";6.0;9.0
"deliv";1.0;1.0
"deliveri";1.0;1.0
"demand";2.0;2.0
"demarc";2.0;3.0
"democrat";2.0;2.0
"deni";3.0;3.0
"depart";7.0;8.0
"departur";1.0;1.0
"depend";4.0;6.0
"deploy";3.0;3.0
"deputi";2.0;2.0
"describ";2.0;3.0
"deserv";3.0;4.0
"desir";3.0;3.0
"desper";1.0;1.0
"destabil";1.0;2.0
"destini";1.0;1.0
"destroy";4.0;4.0
"detain";2.0;6.0
"detent";1.0;2.0
"deterior";2.0;2.0
