"word";"in documents";"total"
"abandon_ambit";1.0;1.0
"abandon_ambit_stir";1.0;1.0
"abe_day";1.0;1.0
"abe_day_mention";1.0;1.0
"abe_depart";1.0;1.0
"abe_depart_foreign";1.0;1.0
"abe_discuss";1.0;1.0
"abe_discuss_matter";1.0;1.0
"abe_express";1.0;1.0
"abe_express_intent";1.0;1.0
"abe_key";1.0;1.0
"abe_key_issu";1.0;1.0
"abe_meet";1.0;1.0
"abe_meet_dutert";1.0;1.0
"abe_mention";1.0;1.0
"abe_mention_comfort";1.0;1.0
"abe_prime";1.0;1.0
"abe_prime_minist";1.0;1.0
"abe_said";1.0;1.0
"abe_said_japan";1.0;1.0
"abe_seek";1.0;1.0
"abe_seek_peac";1.0;1.0
"abe_told";1.0;1.0
"abe_told_press";1.0;1.0
"abella_said";2.0;3.0
"abella_said_dutert";1.0;1.0
"abella_said_late";1.0;1.0
"abella_said_palac";1.0;1.0
"abella_told";1.0;1.0
"abella_told_news";1.0;1.0
"abl_enhanc";1.0;1.0
"abl_enhanc_thailand";1.0;1.0
"abl_sit";1.0;1.0
"abl_sit_week";1.0;1.0
"abl_wipe";1.0;1.0
"abl_wipe_slate";1.0;1.0
"abrog_defens";2.0;2.0
"abrog_defens_agreement";2.0;2.0
"abrog_exist";1.0;1.0
"abrog_exist_treati";1.0;1.0
"abrog_militari";1.0;1.0
"abrog_militari_allianc";1.0;1.0
"abu_bakar";1.0;1.0
"abu_bakar_foreign";1.0;1.0
"abus_arbitr";1.0;1.0
"abus_arbitr_episod";1.0;1.0
"abus_extremadura";1.0;1.0
"abus_extremadura_said";1.0;1.0
"abus_women";1.0;1.0
"abus_women_support";1.0;1.0
"academ_exchang";2.0;2.0
"academ_exchang_model";2.0;2.0
"acceler_declin";1.0;1.0
"acceler_declin_global";1.0;1.0
"acceler_inclus";1.0;1.0
"acceler_inclus_act";1.0;1.0
"accept_invit";2.0;2.0
"accept_invit_pleasur";2.0;2.0
"accept_peac";1.0;1.0
"accept_peac_stabl";1.0;1.0
"access_philippin";1.0;1.0
"access_philippin_militari";1.0;1.0
"accommod_patient";1.0;2.0
"accommod_patient_offic";1.0;1.0
"accommod_patient_week";1.0;1.0
"accompani_dutert";1.0;1.0
"accompani_dutert_beij";1.0;1.0
"accord_china";1.0;1.0
"accord_china_s";1.0;1.0
"accord_consensus";2.0;2.0
"accord_consensus_reach";2.0;2.0
"accord_execut";1.0;1.0
"accord_execut_order";1.0;1.0
"accord_local";1.0;1.0
"accord_local_report";1.0;1.0
"accord_nation";1.0;1.0
"accord_nation_interest";1.0;1.0
"accord_offici";1.0;1.0
"accord_offici_welcom";1.0;1.0
"accord_philippin";1.0;1.0
"accord_philippin_peopl";1.0;1.0
"accord_univers";3.0;4.0
"accord_univers_recogn";3.0;4.0
"accord_xi";1.0;1.0
"accord_xi_china";1.0;1.0
"account_percent";1.0;1.0
"account_percent_august";1.0;1.0
"account_textbook";1.0;1.0
"account_textbook_philippin";1.0;1.0
"accumul_mutual";1.0;1.0
"accumul_mutual_trust";1.0;1.0
"accur_perspect";1.0;1.0
"accur_perspect_drug";1.0;1.0
"achiev_ambisyon";1.0;1.0
"achiev_ambisyon_nation";1.0;1.0
"achiev_china";1.0;1.0
"achiev_china_s";1.0;1.0
"achiev_last";1.0;1.0
"achiev_last_peac";1.0;1.0
"achiev_main";1.0;1.0
"achiev_main_object";1.0;1.0
"achiev_overal";1.0;1.0
"achiev_overal_improv";1.0;1.0
"achiev_sustain";2.0;2.0
"achiev_sustain_develop";2.0;2.0
"achiev_visit";1.0;1.0
"achiev_visit_speak";1.0;1.0
"acknowledg_centuri";2.0;2.0
"acknowledg_centuri_old";2.0;2.0
"acknowledg_great";2.0;2.0
"acknowledg_great_import";2.0;2.0
"acknowledg_mutual";2.0;2.0
"acknowledg_mutual_econom";2.0;2.0
"act_keep";1.0;1.0
"act_keep_dutert";1.0;1.0
"action_go";1.0;1.0
"action_go_china";1.0;1.0
"action_matter";1.0;1.0
"action_matter_resolv";1.0;1.0
"action_necessari";2.0;2.0
"action_necessari_combat";2.0;2.0
"action_plan";2.0;2.0
"action_plan_agricultur";2.0;2.0
"action_result";1.0;1.0
"action_result_acceler";1.0;1.0
"action_speed";1.0;1.0
"action_speed_declin";1.0;1.0
"activ_chang";1.0;1.0
"activ_chang_secur";1.0;1.0
"activ_engag";1.0;1.0
"activ_engag_intern";1.0;1.0
"activ_identifi";2.0;2.0
"activ_identifi_mou";2.0;2.0
"activ_joint";1.0;1.0
"activ_joint_task";1.0;1.0
"activ_order";1.0;1.0
"activ_order_u";1.0;1.0
"activ_part";1.0;1.0
"activ_part_promot";1.0;1.0
"activ_particip";1.0;1.0
"activ_particip_southeast";1.0;1.0
"activ_promot";2.0;2.0
"activ_promot_region";2.0;2.0
"activ_relat";1.0;1.0
"activ_relat_drug";1.0;1.0
"activ_side";2.0;2.0
"activ_side_explor";2.0;2.0
"activ_south";3.0;3.0
"activ_south_china";3.0;3.0
"activ_support";1.0;1.0
"activ_support_peac";1.0;1.0
"ad_agreement";1.0;1.0
"ad_agreement_sign";1.0;1.0
"ad_bilater";1.0;1.0
"ad_bilater_relat";1.0;1.0
"ad_china";1.0;1.0
"ad_china_s";1.0;1.0
"ad_countri";2.0;2.0
"ad_countri_opportun";1.0;1.0
"ad_countri_will";1.0;1.0
"ad_current";1.0;1.0
"ad_current_situat";1.0;1.0
"ad_dutert";1.0;1.0
"ad_dutert_wage";1.0;1.0
"ad_includ";1.0;1.0
"ad_includ_reinforc";1.0;1.0
"ad_look";1.0;1.0
"ad_look_friend";1.0;1.0
"ad_plan";1.0;1.0
"ad_plan_scrap";1.0;1.0
"ad_russia";1.0;1.0
"ad_russia_cooper";1.0;1.0
"ad_separ";1.0;1.0
"ad_separ_unit";1.0;1.0
"ad_simpli";1.0;1.0
"ad_simpli_mean";1.0;1.0
