"word";"in documents";"total"
"abandon";1.0;1.0
"abella";2.0;4.0
"abrog";4.0;4.0
"abus";2.0;3.0
"academ";2.0;2.0
"acceler";2.0;2.0
"accept";3.0;3.0
"access";1.0;1.0
"accommod";1.0;2.0
"accompani";1.0;1.0
"accord";10.0;13.0
"account";2.0;2.0
"accumul";1.0;1.0
"accur";1.0;1.0
"achiev";7.0;8.0
"acknowledg";2.0;6.0
"action";5.0;8.0
"activ";10.0;17.0
"adapt";2.0;2.0
"addict";3.0;3.0
"addit";3.0;3.0
"address";4.0;7.0
"adher";3.0;4.0
"adjust";2.0;2.0
"administr";10.0;15.0
"adopt";4.0;4.0
"adulyadej";1.0;2.0
"advanc";1.0;1.0
"advis";1.0;1.0
"affair";4.0;5.0
"affect";3.0;3.0
"affirm";3.0;12.0
"afraid";1.0;2.0
"afternoon";1.0;1.0
"agenc";4.0;5.0
"agenda";2.0;3.0
"agre";8.0;47.0
"agreement";12.0;29.0
"agricultur";5.0;28.0
"ahead";6.0;6.0
"aiib";2.0;2.0
"aileen";1.0;1.0
"ailment";1.0;1.0
"airlin";2.0;2.0
"airport";2.0;2.0
"akihito";2.0;2.0
"aliv";1.0;1.0
"allevi";2.0;4.0
"alli";6.0;7.0
"allianc";5.0;10.0
"alloc";2.0;2.0
"allow";8.0;8.0
"aloud";1.0;1.0
"altern";1.0;1.0
"ambassador";1.0;1.0
"ambisyon";1.0;3.0
"ambit";2.0;2.0
"amelior";1.0;1.0
"america";2.0;2.0
"american";1.0;1.0
"amic";2.0;2.0
"amok";1.0;1.0
"amount";1.0;1.0
"amphibi";1.0;1.0
"analyst";2.0;3.0
"ancestr";2.0;2.0
"anew";1.0;1.0
"anim";3.0;6.0
"annex";3.0;4.0
"announc";6.0;8.0
"annual";3.0;3.0
"antara";1.0;1.0
"anti";5.0;7.0
"anticip";1.0;1.0
"anxious";1.0;1.0
"anymor";1.0;2.0
"apart";1.0;1.0
"apolog";1.0;1.0
"appar";3.0;3.0
"applaud";1.0;1.0
"appreci";3.0;3.0
"appropri";3.0;3.0
"approv";1.0;1.0
"apterr";2.0;2.0
"aquino";6.0;8.0
"arbitr";5.0;6.0
"architectur";2.0;2.0
"area";14.0;30.0
"argument";1.0;1.0
"armi";2.0;3.0
"arrang";3.0;8.0
"arriv";5.0;5.0
"arthur";1.0;1.0
"articl";1.0;7.0
"asean";13.0;39.0
"asia";6.0;9.0
"asian";7.0;8.0
"asid";2.0;2.0
"aspir";2.0;4.0
"assist";10.0;18.0
"associ";3.0;4.0
"assum";5.0;5.0
"atmospher";4.0;4.0
"attach";2.0;2.0
"attempt";1.0;1.0
"attend";2.0;2.0
"august";2.0;3.0
"author";7.0;11.0
"avenu";1.0;1.0
"avers";1.0;1.0
"avoid";2.0;2.0
"await";1.0;1.0
"awang";1.0;1.0
"back";1.0;1.0
"backdrop";2.0;2.0
"background";1.0;1.0
"baffl";1.0;1.0
"bakar";1.0;1.0
"balagtey";1.0;5.0
"balatey";1.0;1.0
"bambang";1.0;1.0
"banaag";1.0;4.0
"banana";3.0;3.0
"bandar";1.0;1.0
"bangko";2.0;2.0
"bank";3.0;6.0
"banquet";1.0;1.0
"barrier";1.0;1.0
"base";5.0;5.0
"basi";4.0;4.0
"batac";1.0;1.0
"baviera";1.0;2.0
"becom";1.0;1.0
"beef";1.0;1.0
"began";1.0;1.0
"begawan";1.0;1.0
"begin";2.0;2.0
"begun";1.0;1.0
"behalf";1.0;1.0
"beij";16.0;23.0
"believ";1.0;1.0
"belt";1.0;1.0
"benefici";5.0;5.0
"benefit";10.0;20.0
"benigno";6.0;8.0
"benito";1.0;1.0
"bhumibol";1.0;2.0
"bilater";18.0;54.0
"billion";3.0;7.0
"bing";1.0;1.0
"blast";1.0;1.0
"blister";1.0;1.0
"bloodi";1.0;1.0
"boat";1.0;1.0
"bodi";1.0;2.0
"bold";1.0;1.0
"bolkiah";2.0;2.0
"bolster";2.0;2.0
"bond";3.0;7.0
"bossi";1.0;1.0
"bound";1.0;1.0
"brand";1.0;1.0
"break";4.0;6.0
"breed";1.0;1.0
"brief";3.0;3.0
"brig";1.0;1.0
"bring";4.0;6.0
"broadcast";2.0;2.0
"broaden";3.0;3.0
"brothel";1.0;1.0
"brother";1.0;2.0
"brought";2.0;2.0
"brown";1.0;2.0
"brunei";3.0;11.0
"budget";2.0;2.0
"build";7.0;22.0
"built";1.0;1.0
"bureau";3.0;3.0
"buri";1.0;1.0
"burial";1.0;3.0
"busi";5.0;5.0
"businessman";1.0;1.0
"businessmen";1.0;1.0
"buyer";2.0;2.0
"cabinet";1.0;1.0
"call";7.0;7.0
"callamard";1.0;3.0
"came";2.0;3.0
"camp";2.0;4.0
"campaign";4.0;7.0
"cancel";3.0;3.0
"candid";1.0;1.0
"capabl";3.0;4.0
"capac";4.0;13.0
"capit";2.0;2.0
"capita";1.0;1.0
"captiv";1.0;1.0
"carlo";1.0;1.0
"carpet";1.0;1.0
"carpio";1.0;1.0
"carri";1.0;1.0
"case";7.0;7.0
"casipl";1.0;3.0
"caus";2.0;2.0
"cement";4.0;4.0
"cemeteri";1.0;5.0
"center";6.0;13.0
"central";2.0;2.0
"centuri";4.0;4.0
"ceremoni";6.0;7.0
"chain";2.0;2.0
"chair";2.0;2.0
"chairman";2.0;2.0
"chairmanship";2.0;2.0
"challeng";1.0;1.0
"chang";6.0;9.0
"chart";1.0;1.0
"charter";2.0;4.0
"checkpoint";1.0;1.0
"chen";1.0;1.0
"chiang";2.0;2.0
"children";1.0;1.0
"china";25.0;232.0
"chines";16.0;37.0
"choic";1.0;1.0
"choos";1.0;1.0
"chosen";1.0;1.0
"chow";1.0;1.0
"cite";2.0;2.0
"citi";8.0;27.0
"citizen";2.0;2.0
"civil";2.0;2.0
"claim";1.0;1.0
"claimant";1.0;1.0
"clark";1.0;1.0
"class";1.0;1.0
"clean";1.0;1.0
"clear";2.0;2.0
"climat";3.0;4.0
"close";3.0;3.0
"closer";1.0;1.0
"closest";1.0;1.0
"cmim";2.0;2.0
"coast";4.0;9.0
"code";2.0;2.0
"cold";1.0;1.0
"collabor";1.0;1.0
"collect";2.0;2.0
"coloni";3.0;3.0
"combat";4.0;6.0
"come";2.0;2.0
"comfort";1.0;10.0
"command";1.0;2.0
"commemor";2.0;2.0
"comment";2.0;2.0
"commerc";2.0;6.0
"commiss";3.0;6.0
"commit";9.0;25.0
"committe";3.0;8.0
"common";8.0;11.0
"communic";5.0;12.0
"communiqu";2.0;4.0
"communist";1.0;1.0
"communiti";3.0;3.0
"compat";1.0;1.0
"compens";1.0;2.0
"compet";2.0;2.0
"complementar";2.0;2.0
"complet";1.0;1.0
"complex";1.0;1.0
"compli";2.0;2.0
"complianc";2.0;4.0
"complic";3.0;3.0
"compon";2.0;2.0
"comprehens";3.0;3.0
"concern";6.0;13.0
"concert";2.0;2.0
"concession";2.0;2.0
"conclud";1.0;1.0
"conclus";3.0;3.0
"condit";2.0;2.0
"condol";1.0;1.0
"condominium";1.0;1.0
"conduc";4.0;5.0
"conduct";8.0;15.0
"confer";7.0;7.0
"confid";2.0;4.0
"congress";2.0;2.0
"consensus";8.0;13.0
"consid";3.0;3.0
"consist";1.0;2.0
"constitut";1.0;1.0
"construct";4.0;5.0
"consul";2.0;2.0
"consular";2.0;2.0
"consult";6.0;11.0
"contact";2.0;2.0
"contain";3.0;3.0
"contenti";2.0;2.0
"continu";11.0;20.0
"contribut";6.0;7.0
"control";8.0;9.0
"controversi";1.0;1.0
"conveni";2.0;2.0
"cooper";24.0;143.0
"coordin";3.0;5.0
"copi";1.0;1.0
"core";2.0;2.0
"corpor";3.0;3.0
"correct";2.0;2.0
"corrupt";1.0;1.0
"council";3.0;8.0
"counselor";2.0;2.0
"counter";2.0;2.0
"counterbal";1.0;1.0
"counterpart";4.0;4.0
"countri";27.0;93.0
"cours";3.0;3.0
"court";1.0;6.0
"cover";1.0;1.0
"creat";4.0;4.0
"credit";2.0;2.0
"crime";4.0;9.0
"critic";6.0;8.0
"crowd";1.0;1.0
"crown";1.0;1.0
"crucial";1.0;1.0
"cultur";3.0;7.0
"currenc";2.0;2.0
"current";5.0;5.0
"custom";3.0;4.0
"cybercrim";2.0;2.0
"daili";1.0;1.0
"daughter";1.0;1.0
"davao";8.0;19.0
"dead";1.0;1.0
"death";3.0;3.0
"debilit";1.0;1.0
"decatur";1.0;1.0
"decid";2.0;2.0
"decis";2.0;2.0
"declar";4.0;4.0
"declin";1.0;2.0
"decongest";1.0;1.0
"deed";1.0;1.0
"deep";1.0;1.0
"deepen";1.0;1.0
"deepli";1.0;1.0
"defenc";3.0;3.0
"defens";11.0;24.0
"dejiang";3.0;3.0
"delay";1.0;1.0
"deleg";2.0;2.0
"delfin";2.0;2.0
"deliber";1.0;1.0
"deliv";2.0;2.0
"demand";2.0;2.0
"demonstr";1.0;1.0
"denounc";1.0;1.0
"depart";10.0;27.0
"depend";3.0;4.0
"depth";2.0;2.0
"deputi";2.0;2.0
"describ";1.0;1.0
"deserv";2.0;3.0
"destroy";2.0;3.0
"detect";2.0;2.0
"deterior";2.0;2.0
"determin";1.0;1.0
"develop";17.0;72.0
"diagnos";1.0;1.0
"dialogu";8.0;14.0
"dictat";2.0;2.0
"differ";4.0;4.0
"digniti";1.0;1.0
"diplomaci";2.0;2.0
"diplomat";6.0;9.0
"direct";3.0;3.0
"director";3.0;4.0
"disast";3.0;4.0
"discord";1.0;2.0
"discourag";1.0;1.0
"discov";2.0;2.0
"discuss";9.0;11.0
"disgrac";1.0;1.0
"disguis";1.0;1.0
"dismantl";1.0;1.0
"display";1.0;1.0
"disput";9.0;17.0
"disrupt";1.0;1.0
"dissatisfact";1.0;1.0
"distract";2.0;2.0
"diversifi";1.0;1.0
"divid";1.0;1.0
"dmitri";1.0;1.0
"document";6.0;8.0
"dollar";1.0;3.0
"domest";2.0;4.0
